上一级mid,微博mid,作者uid,t,reposts_count,attitudes_count,comments_count,text,followers_count,statuses_count,friends_count,username,user_description,gender,province,city,verified,verified_reason,verified_type,user_location
,3962660036941700,2049389352,1460255237,492,921,204,#武汉马拉松#这个即视感……[哈哈],3193558,51876,2593,新浪湖北,微观世界，博览荆楚！关于湖北的大事、小事、贴心事、烦心事，欢迎您第一时间私信或者@我们！,f,42,1,1,新浪湖北官方微博,3,湖北 武汉
3962660036941700,3962660171275940,1866243401,1460255270,0,0,0,转发微博,236,28282,234,白玖夜歌,爱一个不爱你的人，就像在机场等一艘船。,f,42,1,,,220,湖北 武汉
3962660036941700,3962660242378460,1965261072,1460255287,0,0,0,被“汉??”刷屏了,373,2417,258,Summer养乐多,Don't confuse my personality with my attitude. My personality is who I am. My attitude depends on who you are.,m,42,9,,,220,湖北 孝感
3962660036941700,3962660280160170,5322075389,1460255296,0,0,0,图2??[馋嘴][馋嘴][馋嘴],752,9025,207,郑萌萌很任性,自娱自乐！！！！??,f,42,1000,,,-1,湖北
3962660036941700,3962660334531290,2881318521,1460255309,0,0,0,小编是吃货，鉴定完毕。,163,499,264,龚钦888,,m,100,1000,,,-1,其他
3962660036941700,3962660410090910,3229310357,1460255327,0,0,0,[笑cry][笑cry][笑cry],57,1114,174,Odianee,,f,42,1,,,-1,湖北 武汉
3962660036941700,3962660598932850,5225492184,1460255372,0,0,0,轉發微博,73,203,424,没有你的G-Dragon,hello 大家好、希望在这个全新的微博上能认识更多热爱生活的朋友 、 也感谢曾经伤害过我的人是你们让我成长 ～,m,42,1,,,-1,湖北 武汉
3962660036941700,3962660636713710,2133539874,1460255381,0,0,0,原来衣服颜色是这样选的,266,5631,285,糖糖Stephan1e,快乐总是短暂的。合久必分，分久必合。,f,42,1,,,-1,湖北 武汉
3962660036941700,3962660674493010,3034985015,1460255390,0,0,5,小龙虾[哈哈],180,1642,414,爱吃鱼的女子,女，单身，吃货＋睡神，喜欢旅行；神经大条，偶尔有点蛇精病,f,42,1,,,-1,湖北 武汉
3962660036941700,3962660729538990,1924842983,1460255403,4,7,2,别闹！要麻辣还是清蒸？[doge],97611,38359,509,湖北经视官方微博,湖北经视是湖北最具影响力的地面电视媒体，在武汉市所有能收看的电视频道中（含央视、各省级卫视）连续13年收视率排名第一。,m,42,1,1,湖北广播电视总台电视经视频道官方微博,3,湖北 武汉
3962660036941700,3962660754486340,2436106564,1460255408,1,0,0,[笑cry][笑cry][笑cry]@史蒂文Z @waterlue,241,2163,701,多拉A梦Dan_No_more_nonsense,,f,42,1,,,-1,湖北 武汉
3962660036941700,3962660775734990,1797042814,1460255414,0,0,0,哈哈哈哈,626,6162,997,abengbaqiongqionglaga,麦兜说：心情不好的时候，那就上厕所，上完之后，面部狰狞的对着马桶说：“你给我吃屎吧你！”然后猛冲厕所！,f,42,1,1,中国移动通信集团湖北有限公司客户服务中心 职员,0,湖北 武汉
3962660036941700,3962660788084790,1710712077,1460255417,0,0,0,@yoshiko_芳,252,5898,437,陳傑思汗,修身五年.九重天外又九天，仙佛还在轮回间。 富贫成败皆天数，万物生死皆自然。 じ☆ひ♂杰,m,42,1,1,易家街舵落口社区居委会房屋专干,0,湖北 武汉
3962660036941700,3962660917737490,1841009307,1460255448,1,0,1,哈哈,333,15895,300,章鱼吃丸子,像个孩子般傻笑，做一枚合格的哈哈党～,f,42,1,,,220,湖北 武汉
3962660729538990,3962661123031250,5038004043,1460255497,0,0,0,,44,724,94,看天上有大飞机,如果你的心是乱的，你看这个世界也就乱了,m,42,1,,,-1,湖北 武汉
3962660036941700,3962661211594040,2247450103,1460255518,3,0,2,是清蒸还是油焖？,3236,4612,372,湖北足球网,湖北足球网由湖北省体育局、湖北省足球运动管理中心、湖北省足球协会主办，网站以湖北足球，武汉卓尔职业足球俱乐部为主，提供包括最新的新闻资讯、赛事评论、前瞻分析、球队数据等服务，做湖北武汉地区最好的足球类综合性网站。,m,42,1,1,湖北足球网(www.hubeifc.com)官方微博,5,湖北 武汉
3962661211594040,3962661290399410,5318335717,1460255537,0,0,0,233333,388,7515,897,小虫爱卓尔爱曼联,我是之前的那个“小虫爱汉军爱曼联”，因为发了两张HK的不和谐照片，被新浪封号了，这是我的新号，求朋友们加这个吧,m,42,1,,,-1,湖北 武汉
3962660036941700,3962661425463860,2240219767,1460255569,0,0,0,转发微博,256,2891,652,慧婕子,我是不是比较爱喜新厌旧 ？_2比神经病,f,42,3,,,-1,湖北 十堰
3962660036941700,3962661454548140,1597182385,1460255575,0,0,0,哈哈哈[笑cry][笑cry][笑cry],74,864,73,张宗去哪,"YN,MH",m,42,13,,,-1,湖北 随州
3962660036941700,3962661630490410,2834185892,1460255617,0,0,0,[笑cry][笑cry][笑cry],140,576,114,浅tan轻chang,做好自己,m,42,1,,,-1,湖北 武汉
3962660036941700,3962661672477220,1787433323,1460255628,89,117,34,要麻辣还是清蒸？[doge],667163,23617,1874,武汉同城会,武汉同城会官方微博，关于武汉，都可以圈我。报料、求助、合作请私信。仅此一个平台，不对任何微信帐号负责。,m,42,1,1,武汉同城会官方微博,3,湖北 武汉
3962660036941700,3962661689691750,1317352437,1460255632,0,0,0,很像啊[阴险],1229,11949,1218,千年不醒的梦,相逢一笑 梦忆千年,f,31,15,,,220,上海 浦东新区
3962660036941700,3962661731672440,2241188691,1460255642,8,19,1,写实[doge][doge],17835,4349,720,武汉大学微博协会,武汉大学微博协会官方微博。合作、加入我们请私信本微博，分享武大新鲜事，欢迎校内外各机构、社团、讲座与我们合作。,f,42,1,1,武汉大学微博协会官方微博,1,湖北 武汉
3962660729538990,3962661756863980,2544305214,1460255648,0,0,0,[笑cry][笑cry][笑cry],132,5705,175,zoe-maomao,just for jsy..maomao&maomaos,f,42,1,,,-1,湖北 武汉
3962661211594040,3962661777855510,1644334623,1460255653,0,0,0,[doge],144,2937,323,嘯熬漿糊,,m,42,1,,,-1,湖北 武汉
3962660036941700,3962661790448030,2079543464,1460255655,0,0,0,??????,159,1145,205,一不小心就圆滚了,做自己,f,42,1000,,,-1,湖北
3962660036941700,3962661820054460,1971165013,1460255662,1,1,0,小龙虾,75,486,72,shiny俊雄,,m,42,1,,,-1,湖北 武汉
3962661672477220,3962661836338550,2180160657,1460255666,1,0,0,麻辣小龙虾,4105,452,236,张凸凸哦,让时间说真话 其实我也害怕,f,42,1,,,220,湖北 武汉
3962661672477220,3962661861530060,2705784355,1460255673,0,0,0,必须油焖的啊??,3435,758,196,engineHu,认真的人最性感！,f,100,1000,,,220,其他
3962660729538990,3962661978820920,2194936462,1460255701,0,0,0,,370,1156,269,媚惑g0,如果坦白是一种伤害，我选择谎言。?,f,42,1,,,220,湖北 武汉
3962660729538990,3962661995896710,3240803732,1460255705,0,0,0,,174,2823,268,回心艺陳,已过四年，八年之约。只愿武艺一生安好。,f,42,1,,,-1,湖北 武汉
3962660036941700,3962662012411580,1703520892,1460255708,0,0,0,终于从番茄炒蛋升级成全荤的小龙虾了～,942,48045,639,一只耷拉眼,不认得字，没读过书，瞎看,f,36,1,,,-1,江西 南昌
3962660036941700,3962662024901320,1879778060,1460255712,28,53,6,[哈哈][哈哈][哈哈]一大早就开始直播现在好饿~~~[色],1355256,85248,1218,武汉晚报,武汉地区订阅量、零售量双料第一。24小时新闻热线027-82333333,f,42,1,1,武汉晚报官方微博,3,湖北 武汉
3962661672477220,3962662037234350,1971427603,1460255715,0,0,0,,707,1143,377,J1angCh3n,有些人，一旦遇见，便一眼万年；有些心动，一旦开始，便覆水难收。,f,42,1,,,220,湖北 武汉
3962661672477220,3962662054398150,3019855341,1460255719,0,0,1,[笑cry][笑cry][笑cry][笑cry],168,16586,507,柒_小年,爱睡觉 喜吐槽 文字控 小清新 杰迷,f,42,1,,,-1,湖北 武汉
3962661672477220,3962662109264860,1664388564,1460255732,0,0,0,,333,3089,406,我是文化的文,,m,42,1,,,220,湖北 武汉
3962660036941700,3962662126279820,2020591295,1460255736,0,0,0,现在各大官微的小编也是蛮放得开的…,146,966,779,FreeKr-X,平淡日子里寻找生活的刺,m,11,5,,,220,北京 朝阳区
3962660036941700,3962662138360210,5600318071,1460255739,0,0,0,[笑cry][笑cry],642,661,403,宜昌奥莱邹勇医生,,m,42,1,1,宜昌市西陵区奥莱美容诊所 医师,0,湖北 武汉
3962661672477220,3962662150954290,2651075621,1460255741,0,0,0,油焖比较好,126,1108,80,暱稱真的是件很麻煩的事呢,是你路过我的倾城时光。。。,f,42,1,,,-1,湖北 武汉
3962660036941700,3962662155446300,1721297894,1460255743,1,4,2,可以可以可以??,2705,48991,277,#NAME?,The best years of mine were all about you.,f,42,1,,,220,湖北 武汉
3962662024901320,3962662197647600,2009180677,1460255752,0,0,1,,1018,7079,1157,BOU妞妞,吃饭，睡觉，喂豆豆：）,f,42,1,,,220,湖北 武汉
3962660036941700,3962662218375000,2720469473,1460255757,0,0,0,[馋嘴][笑cry],381,10191,795,爱雯雯06,下辈子要做一颗牙齿，自己不开心的时候有人疼。[哈哈],m,42,1,,,-1,湖北 武汉
3962661672477220,3962662247257260,1905576484,1460255765,0,0,1,哈哈哈,973,6758,401,我就是吴小敏,一项一项来,f,42,1,,,220,湖北 武汉
3962660036941700,3962662319131130,2156887757,1460255782,0,0,0,转发微博,470,13866,1922,冥土噬魂,平心静气，赏识教育,m,400,1,,,220,海外 美国
3962660036941700,3962662368639820,1996804403,1460255794,0,0,0,[笑cry][哈哈],564,10834,407,嵐-wh,,f,42,1,,,-1,湖北 武汉
3962660036941700,3962662385430570,1765301655,1460255798,0,0,0,哈哈哈哈哈哈哈,2610,45108,775,水帘洞里的泽沐汐,没什么可说,f,21,2,,,220,辽宁 大连
3962661672477220,3962662431963480,3639164217,1460255809,0,1,0,蜜汁喜感,50,119,240,水墨清寒2013,,f,11,8,,,-1,北京 海淀区
3962660036941700,3962662461863260,3042587165,1460255815,0,0,0,哈哈哈,116,615,285,温暖霸气的姑娘,有啥好介绍的,f,32,1,,,-1,江苏 南京
3962661672477220,3962662507783000,1974253865,1460255827,0,0,0,,1505,128,279,Sangmong_,男人哭吧不是罪,m,42,1,,,220,湖北 武汉
3962660036941700,3962662574733500,3543264641,1460255843,0,0,0,生动形象[害羞][害羞][害羞],307,805,188,武汉生物工程学院艺术团,舞蹈和音乐，热情和坚持，常伴你我！电话联系15827087099,f,42,1,1,武汉生物工程学院艺术团官方微博,4,湖北 武汉
3962662024901320,3962662620912340,1900513735,1460255854,0,0,0,[色][色][色],760,5728,1131,不要讨厌天蝎妈咪,不忧不惧不抱怨不解释不随波逐流,f,400,7,,,220,海外 澳大利亚
3962660036941700,3962662624466600,1397914577,1460255855,1,0,1,哈哈哈,738,1836,550,猪小西_西,快乐无限大，梦无价,f,42,1,,,220,湖北 武汉
3962660036941700,3962662653856010,1869896520,1460255862,3,1,1,哈哈哈哈哈哈哈哈,833,4542,652,MlleZhan,下辈子做个咖啡壶吧。,f,400,3,,,220,海外 法国
3962662155446300,3962662658413140,3094707357,1460255863,0,0,0,可以的??,885,8894,697,star_靖怡,不是我执着 而是你值得,f,42,1,,,-1,湖北 武汉
3962660036941700,3962662691998170,2037408800,1460255871,0,0,0,转发微博,63,17354,379,UnTILIwin丶,不去期望。。。,m,42,1,,,220,湖北 武汉
3962660036941700,3962662704108580,5737316249,1460255875,1,1,0,哈哈哈哈哈哈[哈哈][哈哈],57,119,81,皇家理工15级船海学硕班,一个微博账号,m,42,1,,,-1,湖北 武汉
3962661672477220,3962662754448260,3814375107,1460255887,0,0,0,哈哈哈哈,229,1276,200,怎么想都太难,精分girl。关注要谨慎。,f,100,1000,,,-1,其他
3962660036941700,3962662784598060,3273805482,1460255893,0,0,0,[哈哈][哈哈][笑cry][笑cry][爱你],89,143,392,时光呆好,你想要最终都回给予你。,f,11,5,,,-1,北京 朝阳区
