Source,Target,Type,Id,Label,Weight
1,2,Directed,1,,1.0
1,5,Directed,17946,,1.0
1,43,Directed,551,,1.0
1,572,Directed,7697,,1.0
1,720,Directed,2304,,1.0
1,1109,Directed,2800,,1.0
1,3877,Directed,5216,,1.0
1,5868,Directed,8799,,1.0
1,8327,Directed,11484,,1.0
2,5,Directed,17628,,1.0
2,8,Directed,11614,,1.0
2,11,Directed,12495,,1.0
2,720,Directed,1927,,1.0
2,1109,Directed,2855,,1.0
2,3739,Directed,4928,,1.0
3,2,Directed,2,,1.0
4,2,Directed,3,,1.0
5,2,Directed,4,,1.0
5,8,Directed,11707,,1.0
5,10,Directed,12144,,1.0
5,11,Directed,12488,,1.0
5,12,Directed,12576,,1.0
5,13,Directed,12883,,1.0
5,34,Directed,3923,,1.0
5,49,Directed,3779,,1.0
5,572,Directed,8132,,1.0
5,653,Directed,8559,,1.0
5,720,Directed,2558,,1.0
5,1088,Directed,1371,,1.0
5,1109,Directed,3019,,1.0
5,1232,Directed,6575,,1.0
5,1976,Directed,2753,,1.0
5,2008,Directed,11952,,1.0
5,2246,Directed,4883,,1.0
5,2692,Directed,3257,,1.0
5,2794,Directed,12876,,1.0
5,3739,Directed,4970,,1.0
5,3877,Directed,5211,,1.0
5,3993,Directed,5350,,1.0
5,4142,Directed,5687,,1.0
5,4208,Directed,5799,,1.0
5,4252,Directed,6341,,1.0
5,4689,Directed,12091,,1.0
6,2,Directed,5,,1.0
6,5,Directed,18818,,1.0
6,12,Directed,12548,,1.0
6,653,Directed,8590,,1.0
6,720,Directed,2039,,1.0
6,1109,Directed,2859,,1.0
6,2246,Directed,4113,,1.0
7,2,Directed,6,,1.0
7,5,Directed,17945,,1.0
7,8,Directed,11781,,1.0
7,720,Directed,1982,,1.0
7,2246,Directed,4118,,1.0
7,2573,Directed,3082,,1.0
8,2,Directed,7,,1.0
9,2,Directed,8,,1.0
10,2,Directed,9,,1.0
10,5,Directed,18948,,1.0
11,2,Directed,10,,1.0
12,2,Directed,11,,1.0
12,5,Directed,15474,,1.0
13,2,Directed,12,,1.0
13,5,Directed,18728,,1.0
13,720,Directed,2072,,1.0
14,2,Directed,13,,1.0
14,5,Directed,19354,,1.0
14,8,Directed,11616,,1.0
14,12,Directed,12592,,1.0
14,2008,Directed,11928,,1.0
14,3982,Directed,5254,,1.0
14,3993,Directed,5343,,1.0
15,2,Directed,14,,1.0
15,5,Directed,18808,,1.0
15,11,Directed,12490,,1.0
15,720,Directed,2351,,1.0
15,2246,Directed,4129,,1.0
15,3993,Directed,5401,,1.0
16,2,Directed,15,,1.0
16,5,Directed,19834,,1.0
17,2,Directed,16,,1.0
17,5,Directed,19964,,1.0
17,49,Directed,3833,,1.0
17,572,Directed,6590,,1.0
17,720,Directed,1926,,1.0
17,1232,Directed,6444,,1.0
17,2246,Directed,3939,,1.0
17,5868,Directed,9313,,1.0
17,8327,Directed,11504,,1.0
18,2,Directed,17,,1.0
18,5,Directed,20494,,1.0
19,2,Directed,18,,1.0
19,5,Directed,20595,,1.0
19,12,Directed,12623,,1.0
19,720,Directed,2465,,1.0
19,2246,Directed,4490,,1.0
20,2,Directed,19,,1.0
20,5,Directed,21911,,1.0
20,8,Directed,11653,,1.0
20,11,Directed,12486,,1.0
20,34,Directed,3924,,1.0
20,43,Directed,711,,1.0
20,572,Directed,8135,,1.0
20,653,Directed,8551,,1.0
20,1080,Directed,5588,,1.0
20,1088,Directed,1376,,1.0
20,2246,Directed,4864,,1.0
20,4206,Directed,5719,,1.0
21,2,Directed,20,,1.0
21,5,Directed,21912,,1.0
21,8,Directed,11754,,1.0
21,12,Directed,12598,,1.0
21,34,Directed,3925,,1.0
21,43,Directed,664,,1.0
21,49,Directed,3679,,1.0
21,572,Directed,8136,,1.0
21,653,Directed,8586,,1.0
21,1080,Directed,5607,,1.0
21,1106,Directed,5269,,1.0
21,1109,Directed,2997,,1.0
21,1232,Directed,6576,,1.0
21,1976,Directed,2755,,1.0
21,2008,Directed,11951,,1.0
21,2246,Directed,4874,,1.0
21,2794,Directed,12877,,1.0
21,3739,Directed,4971,,1.0
21,3877,Directed,5133,,1.0
21,3993,Directed,5487,,1.0
21,4142,Directed,5697,,1.0
21,4252,Directed,6339,,1.0
21,8327,Directed,11464,,1.0
