Source,Target,Type,Id,Label,Weight
yusen,ji-yi-chao,Directed,1,,1.0
yusen,jixin,Directed,17946,,1.0
yusen,lycheeorange,Directed,551,,1.0
yusen,miaomiaomiao,Directed,7697,,1.0
yusen,oxygen,Directed,2304,,1.0
yusen,kant,Directed,2800,,1.0
yusen,zi-liu,Directed,5216,,1.0
yusen,chengbailao,Directed,8799,,1.0
yusen,shi-le-tian-38,Directed,11484,,1.0
ji-yi-chao,jixin,Directed,17628,,1.0
ji-yi-chao,marukochan,Directed,11614,,1.0
ji-yi-chao,aaronglyang,Directed,12495,,1.0
ji-yi-chao,oxygen,Directed,1927,,1.0
ji-yi-chao,kant,Directed,2855,,1.0
ji-yi-chao,hhua,Directed,4928,,1.0
yangfengfeng,ji-yi-chao,Directed,2,,1.0
alejandro_zhu,ji-yi-chao,Directed,3,,1.0
jixin,ji-yi-chao,Directed,4,,1.0
jixin,marukochan,Directed,11707,,1.0
jixin,harryman,Directed,12144,,1.0
jixin,aaronglyang,Directed,12488,,1.0
jixin,yanhui,Directed,12576,,1.0
jixin,wu-xiao-dan,Directed,12883,,1.0
jixin,daguo,Directed,3923,,1.0
jixin,wang-zhen-lei-57,Directed,3779,,1.0
jixin,miaomiaomiao,Directed,8132,,1.0
jixin,pb612,Directed,8559,,1.0
jixin,oxygen,Directed,2558,,1.0
jixin,lanlingyeyu,Directed,1371,,1.0
jixin,kant,Directed,3019,,1.0
jixin,cheng-yi-nan,Directed,6575,,1.0
jixin,chen-xing-yi,Directed,2753,,1.0
jixin,om19,Directed,11952,,1.0
jixin,gongjun,Directed,4883,,1.0
jixin,bai-lu-cang-mang,Directed,3257,,1.0
jixin,shuang-wang,Directed,12876,,1.0
jixin,hhua,Directed,4970,,1.0
jixin,zi-liu,Directed,5211,,1.0
jixin,blackhumor,Directed,5350,,1.0
jixin,zuo-xiao,Directed,5687,,1.0
jixin,TonyFang,Directed,5799,,1.0
jixin,she-zhao-zhuo,Directed,6341,,1.0
jixin,zan-er-26,Directed,12091,,1.0
xu-xiao-ping-87,ji-yi-chao,Directed,5,,1.0
xu-xiao-ping-87,jixin,Directed,18818,,1.0
xu-xiao-ping-87,yanhui,Directed,12548,,1.0
xu-xiao-ping-87,pb612,Directed,8590,,1.0
xu-xiao-ping-87,oxygen,Directed,2039,,1.0
xu-xiao-ping-87,kant,Directed,2859,,1.0
xu-xiao-ping-87,gongjun,Directed,4113,,1.0
dashhuang,ji-yi-chao,Directed,6,,1.0
dashhuang,jixin,Directed,17945,,1.0
dashhuang,marukochan,Directed,11781,,1.0
dashhuang,oxygen,Directed,1982,,1.0
dashhuang,gongjun,Directed,4118,,1.0
dashhuang,maxint64,Directed,3082,,1.0
marukochan,ji-yi-chao,Directed,7,,1.0
li-bing-jun,ji-yi-chao,Directed,8,,1.0
harryman,ji-yi-chao,Directed,9,,1.0
harryman,jixin,Directed,18948,,1.0
aaronglyang,ji-yi-chao,Directed,10,,1.0
yanhui,ji-yi-chao,Directed,11,,1.0
yanhui,jixin,Directed,15474,,1.0
wu-xiao-dan,ji-yi-chao,Directed,12,,1.0
wu-xiao-dan,jixin,Directed,18728,,1.0
wu-xiao-dan,oxygen,Directed,2072,,1.0
jiang-tao,ji-yi-chao,Directed,13,,1.0
jiang-tao,jixin,Directed,19354,,1.0
jiang-tao,marukochan,Directed,11616,,1.0
jiang-tao,yanhui,Directed,12592,,1.0
jiang-tao,om19,Directed,11928,,1.0
jiang-tao,anchibao,Directed,5254,,1.0
jiang-tao,blackhumor,Directed,5343,,1.0
haozhi,ji-yi-chao,Directed,14,,1.0
haozhi,jixin,Directed,18808,,1.0
haozhi,aaronglyang,Directed,12490,,1.0
haozhi,oxygen,Directed,2351,,1.0
haozhi,gongjun,Directed,4129,,1.0
haozhi,blackhumor,Directed,5401,,1.0
water,ji-yi-chao,Directed,15,,1.0
water,jixin,Directed,19834,,1.0
rosicky311,ji-yi-chao,Directed,16,,1.0
rosicky311,jixin,Directed,19964,,1.0
rosicky311,wang-zhen-lei-57,Directed,3833,,1.0
rosicky311,miaomiaomiao,Directed,6590,,1.0
rosicky311,oxygen,Directed,1926,,1.0
rosicky311,cheng-yi-nan,Directed,6444,,1.0
rosicky311,gongjun,Directed,3939,,1.0
rosicky311,chengbailao,Directed,9313,,1.0
rosicky311,shi-le-tian-38,Directed,11504,,1.0
lao-zhua-gong-zhu,ji-yi-chao,Directed,17,,1.0
lao-zhua-gong-zhu,jixin,Directed,20494,,1.0
liujiang,ji-yi-chao,Directed,18,,1.0
liujiang,jixin,Directed,20595,,1.0
liujiang,yanhui,Directed,12623,,1.0
liujiang,oxygen,Directed,2465,,1.0
liujiang,gongjun,Directed,4490,,1.0
shen,ji-yi-chao,Directed,19,,1.0
shen,jixin,Directed,21911,,1.0
shen,marukochan,Directed,11653,,1.0
shen,aaronglyang,Directed,12486,,1.0
shen,daguo,Directed,3924,,1.0
shen,lycheeorange,Directed,711,,1.0
shen,miaomiaomiao,Directed,8135,,1.0
shen,pb612,Directed,8551,,1.0
shen,hecaitou,Directed,5588,,1.0
shen,lanlingyeyu,Directed,1376,,1.0
shen,gongjun,Directed,4864,,1.0
shen,dovey,Directed,5719,,1.0
zhouyuan,ji-yi-chao,Directed,20,,1.0
zhouyuan,jixin,Directed,21912,,1.0
zhouyuan,marukochan,Directed,11754,,1.0
zhouyuan,yanhui,Directed,12598,,1.0
zhouyuan,daguo,Directed,3925,,1.0
zhouyuan,lycheeorange,Directed,664,,1.0
zhouyuan,wang-zhen-lei-57,Directed,3679,,1.0
zhouyuan,miaomiaomiao,Directed,8136,,1.0
zhouyuan,pb612,Directed,8586,,1.0
zhouyuan,hecaitou,Directed,5607,,1.0
zhouyuan,xie-ming-1,Directed,5269,,1.0
